FormPage,FormReferenceNumber,XPath
1,50,/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT[@SalesConcessionIndicator='N']
1,51a,/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/@SalesConcessionAmount
1,e-4,/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/SALES_CONCESSION_EXTENSION/SALES_CONCESSION_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/SALES_CONCESSION_EXTENSION_SECTION_DATA/SALES_CONCESSION/@GSEUndefinedConcessionAmountIndicator
1,51b,/VALUATION_RESPONSE/PROPERTY/SALES_CONTRACT/@SalesConcessionDescription
1,52,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@PropertyNeighborhoodLocationType='Urban']
1,53,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@PropertyNeighborhoodLocationType='Suburban']
1,54,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@PropertyNeighborhoodLocationType='Rural']
1,55,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@_BuiltupRangeType='Over75Percent']
1,56,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@_BuiltupRangeType='25To75Percent']
1,57,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@_BuiltupRangeType='Under25Percent']
1,58,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@_GrowthPaceType='Rapid']
1,59,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@_GrowthPaceType='Stable']
1,60,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@_GrowthPaceType='Slow']
1,61,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@_PropertyValueTrendType='Increasing']
1,62,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@_PropertyValueTrendType='Stable']
1,63,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@_PropertyValueTrendType='Declining']
1,64,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@_DemandSupplyType='Shortage']
1,65,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@_DemandSupplyType='InBalance']
1,66,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@_DemandSupplyType='OverSupply']
1,67,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@_TypicalMarketingTimeDurationType='UnderThreeMonths']
1,68,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@_TypicalMarketingTimeDurationType='ThreeToSixMonths']
1,69,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD[@_TypicalMarketingTimeDurationType='OverSixMonths']
1,70,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_HOUSING[@_Type='SingleFamily']/@_LowPriceAmount
1,71,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_HOUSING[@_Type='SingleFamily']/@_HighPriceAmount
1,72,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_HOUSING[@_Type='SingleFamily']/@_PredominantPriceAmount
1,73,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_HOUSING[@_Type='SingleFamily']/@_NewestYearsCount
1,74,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_HOUSING[@_Type='SingleFamily']/@_OldestYearsCount
1,75,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_HOUSING[@_Type='SingleFamily']/@_PredominantAgeYearsCount
1,76,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_PRESENT_LAND_USE[@_Type='SingleFamily']/@_Percent
1,77,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_PRESENT_LAND_USE[@_Type='TwoToFourFamily']/@_Percent
1,78,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_PRESENT_LAND_USE[@_Type='Apartment']/@_Percent
1,79,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_PRESENT_LAND_USE[@_Type='Commercial']/@_Percent
1,81,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/_PRESENT_LAND_USE[@_Type='Other']/@_Percent
1,82,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/NEIGHBORHOOD_EXTENSION/NEIGHBORHOOD_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/NEIGHBORHOOD_EXTENSION_SECTION_DATA/NEIGHBORHOOD_BOUNDARIES/@GSENeighborhoodBoundariesDescription
1,83,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_Description
1,84,/VALUATION_RESPONSE/PROPERTY/NEIGHBORHOOD/@_MarketConditionsDescription
1,85,/VALUATION_RESPONSE/PROPERTY/SITE/@_DimensionsDescription
1,86,/VALUATION_RESPONSE/PROPERTY/SITE/@_AreaDescription
1,87,/VALUATION_RESPONSE/PROPERTY/SITE/SITE_FEATURE[@_Type='Shape']/@_Comment
1,e-5,/VALUATION_RESPONSE/VALUATION_METHODS/SALES_COMPARISON/COMPARABLE_SALE[@PropertySequenceIdentifier='0']/COMPARISON_VIEW_OVERALL_RATING_EXTENSION/COMPARISON_VIEW_OVERALL_RATING_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/COMPARISON_VIEW_OVERALL_RATING_EXTENSION_SECTION_DATA/COMPARISON_VIEW_OVERALL_RATING/@GSEViewOverallRatingType
1,e-6,/VALUATION_RESPONSE/VALUATION_METHODS/SALES_COMPARISON/COMPARABLE_SALE[@PropertySequenceIdentifier='0']/COMPARISON_VIEW_DETAIL_EXTENSION/COMPARISON_VIEW_DETAIL_EXTENSION_SECTION[@ExtensionSectionOrganizationName='UNIFORMAPPRAISALDATASET']/COMPARISON_VIEW_DETAIL_EXTENSION_SECTION_DATA/COMPARISON_VIEW_DETAIL[@_SequenceIdentifier='1..2']/@GSEViewType
