FormPage,FormReferenceNumber,XPath
0,38,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='MedianSalesDOM' and @_MonthRangeType='Prior4To6Months']/@_Count
0,39,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='MedianSalesDOM' and @_MonthRangeType='Last3Months']/@_Count
0,40,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='MedianListPrice']/@_TrendType
0,41,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='MedianListPrice' and @_MonthRangeType='Prior7To12Months']/@_Count
0,42,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='MedianListPrice' and @_MonthRangeType='Prior4To6Months']/@_Count
0,43,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='MedianListPrice' and @_MonthRangeType='Last3Months']/@_Count
0,44,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='MedianListDOM']/@_TrendType
0,45,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='MedianListDOM' and @_MonthRangeType='Prior7To12Months']/@_Count
0,46,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='MedianListDOM' and @_MonthRangeType='Prior4To6Months']/@_Count
0,47,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='MedianListDOM' and @_MonthRangeType='Last3Months']/@_Count
0,48,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='MedianSalesToListRatio']/@_TrendType
0,49,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='MedianSalesToListRatio' and @_MonthRangeType='Prior7To12Months']/@_Count
0,50,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='MedianSalesToListRatio' and @_MonthRangeType='Prior4To6Months']/@_Count
0,51,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/MARKET_INVENTORY[@_Type='MedianSalesToListRatio' and @_MonthRangeType='Last3Months']/@_Count
0,52,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/SUBJECT_PROJECT/@ProjectName
0,53,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/SUBJECT_PROJECT/@NeighborhoodMarketabilityFactorsDescription
0,54,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/SUBJECT_PROJECT/@MarketTrendsReconciliationComment
0,55,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/SUBJECT_PROJECT/MARKET_INVENTORY[@_Type='TotalSales' and @_MonthRangeType='Prior7To12Months']/@_Count
0,56,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/SUBJECT_PROJECT/MARKET_INVENTORY[@_Type='TotalSales' and @_MonthRangeType='Prior4To6Months']/@_Count
0,57,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/SUBJECT_PROJECT/MARKET_INVENTORY[@_Type='TotalSales' and @_MonthRangeType='Last3Months']/@_Count
0,58,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/SUBJECT_PROJECT/MARKET_INVENTORY[@_Type='AbsorptionRate' and @_MonthRangeType='Prior7To12Months']/@_Count
0,59,/VALUATION_RESPONSE/REPORT/FORM[@AppraisalReportContentSequenceIdentifier='2']/MARKET/SUBJECT_PROJECT/MARKET_INVENTORY[@_Type='AbsorptionRate' and @_MonthRangeType='Prior4To6Months']/@_Count
